"id","arbeitgeber","titel","url","ort_plz","bewerbungsfrist"
67," Ministerium f&#252;r Soziales, Gesundheit und Integration Baden-W&#252;rttemberg","Ärztinnen und Ärzte (w/m/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790834.html#track=feed-jobs","     75172 Pforzheim",NULL
68," Landeshauptstadt Saarbr&#252;cken","Dipl. Ingenieur*in Fachrichtung Architektur/Städtebau/Stadtplanung oder Raumplanung","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790528.html#track=feed-jobs","     66111 Saarbr&#252;cken",NULL
69," Die Autobahn GmbH des Bundes","Sachbearbeiter/in (w/m/d) Grunderwerb / Abwicklung","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790830.html#track=feed-jobs","     70329 Stuttgart",NULL
70," Polizeipr&#228;sidium Gelsenkirchen","Sachbearbeiter*in (w/m/d) mit dem Schwerpunkt Personalaktenführung","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790827.html#track=feed-jobs","     45894 Gelsenkirchen",NULL
71," AKDB","IT Applikationsadministrator (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790823.html#track=feed-jobs","     80686 M&#252;nchen",NULL
72," Informationstechnikzentrum Bund","Arbeitsbereichsleitung (w/m/d) in der Softwareentwicklung und -pflege","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790821.html#track=feed-jobs","     98693 Ilmenau",NULL
73," Polizeipr&#228;sidium Gelsenkirchen","Sachbearbeiter*in (w/m/d) für Persoanlangelegenheiten","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790818.html#track=feed-jobs","     45894 Gelsenkirchen",NULL
74," Landesamt f&#252;r Geologie und Bergbau Rheinland-Pfalz","Geowissenschaftler/in (m/w/d) im ref. 2.4 im Starkregenprojekt","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790822.html#track=feed-jobs","     55129 Mainz",NULL
75," Ministerium f&#252;r Soziales, Gesundheit und Integration Baden-W&#252;rttemberg","Ärztinnen und Ärzte (w/m/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790796.html#track=feed-jobs","     75365 Calw",NULL
76," AKDB","Volljurist (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/736471.html#track=feed-jobs","     80686 M&#252;nchen",NULL
77," Landkreis Darmstadt-Dieburg","Sachbearbeiter*in Naturschutz und Landschaftspflege","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790807.html#track=feed-jobs","     64289 Darmstadt",NULL
78," Max Rubner-Institut","Wissenschaftlerin / Wissenschaftler (Ernährungswissenschaften, Ökotrophologie) als Teilprojektleitung (w/m/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790809.html#track=feed-jobs","     76131 Karlsruhe",NULL
79," Polizeipr&#228;sidium Gelsenkirchen","Sachbearbeiter*in (w/m/d) für Liegenschaftsangelegenheiten","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790795.html#track=feed-jobs","     45894 Gelsenkirchen",NULL
80," Nieders&#228;chsisches Ministerium f&#252;r Wirtschaft, Arbeit, Verkehr und Digitalisierung","IT-Koordinator/in (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790781.html#track=feed-jobs","     30159 Hannover",NULL
81," Landesforschungsanstalt f&#252;r Landwirtschaft und Fischerei M-V, Institut f&#252;r Fischerei","technische Mitarbeiterin bzw. technischer Mitarbeiter (w/m/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790808.html#track=feed-jobs","     18069 Rostock",NULL
82," Bezirksamt Spandau von Berlin","Gartenarbeiter/in (befristet für die Saison)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790806.html#track=feed-jobs","     13597 Berlin",NULL
83," Stadt Koblenz","Sachbearbeiter (w/m/d) für Gewerbeangelegenheiten","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790811.html#track=feed-jobs","     56068 Koblenz",NULL
84," Bundesanstalt f&#252;r Immobilienaufgaben","Hilfshandwerkerin/Hilfshandwerker (w/m/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/789722.html#track=feed-jobs","     53757 Sankt Augustin",NULL
85," Bundesanstalt f&#252;r den Digitalfunk BOS","Informatiker (m/w/d) Informationssicherheitsmanagement Netze des Bundes","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/789160.html#track=feed-jobs","     10707 Berlin",NULL
86," Stadt Koblenz","Sachbearbeiter (w/m/d) für die Unterbringungskoordination","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790804.html#track=feed-jobs","     56068 Koblenz",NULL
87," Landkreis M&#228;rkisch-Oderland","Administrator*in Bauordnungsamt","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790797.html#track=feed-jobs","     15344 Strausberg",NULL
88," Bezirksamt Spandau von Berlin","Leitung der Zentralen Dienste im Schul- und Sportamt (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790793.html#track=feed-jobs","     13597 Berlin",NULL
89," Landesbetrieb Stra&#223;enwesen Brandenburg","Sachbearbeiter (m/w/d) IT-Anwendungsbetreuung","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790790.html#track=feed-jobs","     15366 Hoppegarten",NULL
90," Stadt Waren (M&#252;ritz)","Politesse/ Verkehrsüberwacher (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790789.html#track=feed-jobs","     17192 Waren (M&#252;ritz)",NULL
91," Landesbetrieb Stra&#223;enwesen Brandenburg","Sachbearbeiter (m/w/d) IT-Anwendungsbetreuung","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790788.html#track=feed-jobs","     15806 Zossen",NULL
92," Kreis G&#252;tersloh","Rechtsberatung, Abteilung Gesundheit","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/787635.html#track=feed-jobs","     33334 G&#252;tersloh",NULL
93," Hochtaunuskreis","Staatlich anerkannter Sozialarbeiter (m/w/d) / Heilpädagogen / Sozialpädagogen Diplom (FH) / Bachelor (m/w/d) / Erzieher (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790758.html#track=feed-jobs","     61352 Bad Homburg v.d. H&#246;he",NULL
94," Ostwestfalen Lippe IT Standort Paderborn","Incident Management und Service Desk Koordination (w/m/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790763.html#track=feed-jobs","     32657 Lemgo",NULL
95," Landesbetrieb Stra&#223;enwesen Brandenburg","Sachbearbeiter (m/w/d) IT-Anwendungsbetreuung","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790776.html#track=feed-jobs","     15236 Frankfurt (Oder)",NULL
96," Ministerium der Finanzen des Landes Sachsen-Anhalt","Sachbearbeiter EU-Verwaltungsbehörde","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790725.html#track=feed-jobs","     39108 Magdeburg",NULL
97," Landesbetrieb Stra&#223;enwesen Brandenburg","Sachbearbeiter (m/w/d) IT-Anwendungsbetreuung","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790770.html#track=feed-jobs","     16225 Eberswalde",NULL
98," Landesbetrieb Verm&#246;gen und Bau Baden-W&#252;rttemberg","Diplom-Verwaltungswirte bzw. Bachelor (w/m/d) der Fachrichtung Allgemeine Finanzverwaltung, Public Management oder einem vergleichbaren Abschluss","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790767.html#track=feed-jobs","     89075 Ulm",NULL
99," Landkreis Emmendingen","Vermessungstechniker/in / Geomatiker/in (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790771.html#track=feed-jobs","     79312 Emmendingen",NULL
100," Hochschule Stralsund","Leiterin bzw. Leiter (w/m/d) Rechenzentrum","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790769.html#track=feed-jobs","     18435 Stralsund",NULL
